Counterparty,Referenced Obligation,Protection (1),Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
Credit Suisse,The Walt Disney Co 6.375% due 03/01/12,Buy,(0.530%),12/20/08,1300000,"(9,032",0000813900,N-CSR,07
Lehman Brothers,Lockheed Martin Corp 8.200% due 12/01/09,Buy,(0.530%),12/20/08,3200000,"(22,867",0000813900,N-CSR,07
Barclays,The Walt Disney Co 6.375% due 03/01/12,Buy,(0.670%),12/20/08,3900000,"(34,956",0000813900,N-CSR,07
Barclays,Ukraine Government Bond 7.650% due 06/11/13,Sell,0.710%,12/20/08,2800000,7632,0000813900,N-CSR,07
Deutsche Bank,Ukraine Government Bond 7.650% due 06/11/13,Sell,0.720%,12/20/08,1400000,4016,0000813900,N-CSR,07
Credit Suisse,Goodrich Corp 7.625% due 12/15/12,Buy,(0.900%),12/20/08,1300000,"(15,886",0000813900,N-CSR,07
Lehman Brothers,Goodrich Corp 7.625% due 12/15/12,Buy,(0.970%),12/20/08,3200000,"(42,329",0000813900,N-CSR,07
Bear Stearns,Capital One Financial Corp 4.875% due 05/15/08,Buy,(1.090%),12/20/08,2200000,"(30,464",0000813900,N-CSR,07
JPMorgan Chase,Capital One Financial Corp 8.750% due 02/01/07,Buy,(1.350%),12/20/08,900000,"(15,829",0000813900,N-CSR,07
Morgan Stanley,Dow Jones CDX NA EM3 Index,Sell,2.100%,06/20/10,18900000,1323745,0000813900,N-CSR,07
Bear Stearns,Ford Motor Credit Co 7.000% due 10/01/13,Sell,4.300%,06/20/10,1400000,67333,0000813900,N-CSR,07
Morgan Stanley,Republic of Turkey 11.875% due 01/15/30,Buy,(2.250%),09/20/10,550000,"(20,221",0000813900,N-CSR,07
Lehman Brothers,Republic of Turkey 11.875% due 01/15/30,Buy,(2.110%),10/20/10,1600000,"(52,516",0000813900,N-CSR,07
Morgan Stanley,Republic of Turkey 11.875% due 01/15/30,Buy,(2.200%),10/20/10,1100000,"(39,071",0000813900,N-CSR,07
Barclays,DaimlerChrysler NA Holdings 5.750% due 09/08/11,Buy,(0.580%),09/20/11,8000000,"(97,337",0000813900,N-CSR,07
Bank of America,Time Warner Inc 5.500% due 11/15/11,Buy,(0.310%),12/20/11,4000000,"(16,417",0000813900,N-CSR,07
Deutsche Bank,Dow Jones CDX NA IG7 Index,Buy,(0.400%),12/20/11,80300000,194954,0000813900,N-CSR,07
Lehman Brothers,Dow Jones CDX NA HY-7 Index,Buy,(3.250%),12/20/11,7550000,190037,0000813900,N-CSR,07
Bank of America,BHP Billiton Finance Ltd 5.125% due 03/29/12,Buy,(0.135%),03/20/12,3000000,(117,0000813900,N-CSR,07
Barclays,XL Capital PLC 6.500% due 01/15/12,Buy,(0.205%),03/20/12,5300000,24008,0000813900,N-CSR,07
Credit Suisse,Nabors Industries Inc 5.375% due 08/15/12,Buy,(0.470%),06/20/12,1500000,"(6,390",0000813900,N-CSR,07
Deutsche Bank,Nabors Industries Inc 0.000% due 02/05/21,Buy,(0.470%),06/20/12,10000000,"(42,597",0000813900,N-CSR,07
Barclays,Weyerhaeuser Co 6.750% due 03/15/12,Buy,(0.490%),06/20/12,2000000,"(3,117",0000813900,N-CSR,07
Credit Suisse,Noble Corp 5.880% due 06/01/13,Buy,(0.520%),06/20/12,5700000,"(20,770",0000813900,N-CSR,07
Royal Bank of Scotland,Meadwestvaco Corp 6.850% due 04/01/12,Buy,(0.520%),06/20/12,6000000,10840,0000813900,N-CSR,07
Credit Suisse,GlobalSantaFe Corp 5.000% due 02/15/13,Buy,(0.530%),06/20/12,10000000,"(78,682",0000813900,N-CSR,07
Bank of America,Chesapeake Energy Corp 6.875% due 01/15/16,Sell,1.000%,06/20/12,1600000,"(19,582",0000813900,N-CSR,07
Citigroup,Chesapeake Energy Corp 6.875% due 01/15/16,Sell,1.000%,06/20/12,5400000,"(60,533",0000813900,N-CSR,07
Deutsche Bank,Chesapeake Energy Corp 6.875% due 01/15/16,Sell,1.000%,06/20/12,2800000,"(34,269",0000813900,N-CSR,07
Morgan Stanley,Chesapeake Energy Corp 6.875% due 01/15/16,Sell,1.000%,06/20/12,1500000,"(18,359",0000813900,N-CSR,07
Credit Suisse,Chesapeake Energy Corp 6.875% due 01/15/16,Sell,1.050%,06/20/12,10000000,90760,0000813900,N-CSR,07
Lehman Brothers,Chesapeake Energy Corp 6.875% due 01/15/16,Sell,1.100%,06/20/12,5000000,"(39,787",0000813900,N-CSR,07
Citigroup,Nortel Networks Ltd 10.125% due 07/15/13,Sell,2.300%,06/20/12,10000000,"(186,182",0000813900,N-CSR,07
Citigroup,Dow Jones CDX NA HY-8 Index,Buy,(2.750%),06/20/12,4500000,124844,0000813900,N-CSR,07
