Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date",CIK,Reporting Type,Report Year
"Bank
  of America",Buy,300000,1.03,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,90000,1.08,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,270000,1.12,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,220000,0.8,3/20/18,0000741375,N-CSRS,08
"Bank
  of America",Buy,380000,1.18,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,195000,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,340000,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,275000,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,1500000,0.43,3/20/12,0000741375,N-CSRS,08
"Credit
  Suisse",Buy,450000,1,3/20/15,0000741375,N-CSRS,08
"Credit
  Suisse",Buy,385000,1.06,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,355000,3.05,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,735000,0.59,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,780000,0.22,3/20/12,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,245000,0.47,3/20/18,0000741375,N-CSRS,08
"Goldman
  Sachs",Sell,390000,0.6,12/20/12,0000741375,N-CSRS,08
"Goldman
  Sachs",Sell,760000,0.8,12/20/17,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,200000,0.97,3/20/18,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,150000,0.33,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,510000,0.15,12/20/11,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,1050000,0.16,12/20/11,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,205000,3.33,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,265000,1.08,3/20/18,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,130000,1.24,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,50000,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,70000,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,45000,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,65000,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,25000,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,65000,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,55000,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,220000,1.19,3/20/12,0000741375,N-CSRS,08
Bank of America,Buy,75000,1.25,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,45000,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,85000,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,50000,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,225000,0.43,3/20/12,0000741375,N-CSRS,08
Citigroup,Buy,430000,0.43,3/20/12,0000741375,N-CSRS,08
Credit Suisse,Buy,110000,1,3/20/15,0000741375,N-CSRS,08
Goldman Sachs,Buy,40000,0.5,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,85000,3.05,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,420000,1.05,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,1550000,0.1,3/20/12,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,1600000,0.12,12/20/11,0000741375,N-CSRS,08
"JPMorgan
  Chase",Sell,1595000,0.6,12/20/12,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,120000,0.6,3/20/13,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,220000,1.07,3/20/18,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,220000,1.15,3/20/18,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,200000,0.58,3/20/13,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,255000,0.63,3/20/13,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,1300000,0.65,3/20/11,0000741375,N-CSRS,08
"Lehman
  Brothers",Sell,1145000,0.6,12/20/11,0000741375,N-CSRS,08
"Lehman
  Brothers",Buy,245000,0.45,3/20/18,0000741375,N-CSRS,08
"Lehman
  Brothers",Buy,175000,0.46,3/20/18,0000741375,N-CSRS,08
"Lehman
  Brothers",Buy,800000,0.2,12/20/11,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,210000,1.5,3/20/18,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,385000,1.57,3/20/18,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,145000,1.6,3/20/18,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,275000,0.92,3/20/18,0000741375,N-CSRS,08
UBS,Buy,600000,0.3,3/20/13,0000741375,N-CSRS,08
UBS,Buy,170000,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,170000,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,225000,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,150000,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,385000,1.06,3/20/13,0000741375,N-CSRS,08
"Tyco International Ltd., Zero Coupon, 11/17/20",Buy,4170000,0.43%,3/20/12,0000741375,N-CSRS,08
"Dow Jones CDX North America Investment Grade Index,
  Series 8",Sell,8000000,0.35,6/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,175000,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,185000,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,95000,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,185000,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Sell,180000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,380000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,180000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,175000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,40000,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,55000,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,120000,0.15,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,250000,0.16,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,50000,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,65000,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,30000,1.24,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,100000,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,370000,0.1,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,350000,0.12,12/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Sell,380000,0.6,12/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,35000,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55000,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55000,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,45000,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,65000,0.63,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,45000,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,145000,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,40000,0.82,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,145000,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,65000,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,145000,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Buy,180000,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,125000,0.39,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,80000,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,125000,0.11,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,125000,0.11,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,230000,0.44,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,65000,0.26,3/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,40000,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,50000,0.63,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,860000,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,605000,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,415000,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,580000,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,420000,1.34,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,690000,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,280000,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,400000,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,365000,2.25,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,40000,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,20000,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,40000,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,60000,0.92,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,135000,1.25,3/20/13,0000741375,N-CSRS,08
UBS,Buy,35000,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,35000,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,50000,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,25000,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,100000,1.06,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,2600000,0.12,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,1500000,0.8,3/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Sell,2555000,0.6,12/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,195000,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,350000,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,350000,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,300000,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,410000,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1500000,0.65,3/20/11,0000741375,N-CSRS,08
Lehman Brothers,Sell,1230000,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Sell,600000,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,390000,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,280000,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,1300000,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,330000,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,275000,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,225000,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,440000,0.92,3/20/18,0000741375,N-CSRS,08
UBS,Buy,965000,0.3,3/20/13,0000741375,N-CSRS,08
UBS,Buy,270000,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,270000,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,310000,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,270000,1.01,3/20/13,0000741375,N-CSRS,08
UBS,Buy,615000,1.06,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,735000,2.9,11/15/12,0000741375,N-CSRS,08
Citigroup,Buy,1120000,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,675000,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,565000,0.72,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,1150000,0.18,7/25/45,0000741375,N-CSRS,08
Credit Suisse,Buy,920000,1,3/20/15,0000741375,N-CSRS,08
Credit Suisse,Buy,1165000,1.11,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,735000,1.05,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,1415000,1.4,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,1270000,1.38,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,630000,8.1,3/20/13,0000741375,N-CSRS,08
Deutsche Bank,Buy,755000,5,6/20/13,0000741375,N-CSRS,08
Deutsche Bank,Buy,740000,8.15,3/20/13,0000741375,N-CSRS,08
Deutsche Bank,Buy,1270000,1.35,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,265000,0.5,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,110000,0.6,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1425000,3.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,70000,1.6,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1465000,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Sell,1620000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,430000,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,410000,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,775000,2.45,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,730000,1.05,6/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,625000,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,510000,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,250000,1.24,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,860000,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,605000,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,415000,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,580000,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,420000,1.34,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,690000,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,280000,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,400000,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,365000,2.25,3/20/18,0000741375,N-CSRS,08
"Goldman Sachs 
  General Motors Acceptance Corp., 6.88%, 8/28/12",Sell,65000,3.08,6/20/11,0000741375,N-CSRS,08
"Eli Lilly Co., 6.57%, 1/1/16",Buy,15000,0.33,3/20/13,0000741375,N-CSRS,08
"Eli Lilly Co., 6.57%, 1/1/16",Buy,50000,0.3,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,735000,2.9,11/15/12,0000741375,N-CSRS,08
Citigroup,Buy,1120000,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,675000,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,565000,0.72,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,1150000,0.18,7/25/45,0000741375,N-CSRS,08
Credit Suisse,Buy,920000,1,3/20/15,0000741375,N-CSRS,08
Credit Suisse,Buy,1165000,1.11,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,735000,1.05,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,1415000,1.4,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,1270000,1.38,3/20/13,0000741375,N-CSRS,08
Credit Suisse,Buy,630000,8.1,3/20/13,0000741375,N-CSRS,08
Deutsche Bank,Buy,755000,5,6/20/13,0000741375,N-CSRS,08
Deutsche Bank,Buy,740000,8.15,3/20/13,0000741375,N-CSRS,08
Deutsche Bank,Buy,1270000,1.35,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,265000,0.5,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,110000,0.6,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1425000,3.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,70000,1.6,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,1465000,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Sell,1620000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,430000,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,410000,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,775000,2.45,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,730000,1.05,6/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,625000,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,510000,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,250000,1.24,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,260000,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,210000,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,200000,0.43,3/20/12,0000741375,N-CSRS,08
Credit Suisse,Buy,360000,1,3/20/15,0000741375,N-CSRS,08
Goldman Sachs,Buy,275000,3.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,570000,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,350000,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,270000,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,505000,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Buy,160000,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,115000,0.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,150000,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,250000,0.15,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,500000,0.16,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,160000,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,205000,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,100000,1.24,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,320000,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,730000,0.1,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,750000,0.12,12/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Buy,95000,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Sell,1265000,0.6,12/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,185000,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,185000,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,150000,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,195000,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1100000,0.65,03/20/11,0000741375,N-CSRS,08
Bank of America,Buy,165000,1.57,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,240000,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,170000,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,225000,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,90000,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,130000,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,180000,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,190000,1.18,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,165000,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,2215000,0.7,3/20/13,0000741375,N-CSRS,08
Bank of America,Buy,1425000,0.82,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,2200000,1.03,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,700000,1.08,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,2200000,1.12,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,1785000,0.8,3/20/18,0000741375,N-CSRS,08
Bank of America,Buy,7950000,1.19,03/20/12,0000741375,N-CSRS,08
Bank of America,Buy,2475000,1.25,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,1560000,0.82,3/20/18,0000741375,N-CSRS,08
Citigroup,Buy,260000,0.62,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,210000,0.72,3/20/13,0000741375,N-CSRS,08
Citigroup,Buy,200000,0.43,3/20/12,0000741375,N-CSRS,08
Credit Suisse,Buy,360000,1,3/20/15,0000741375,N-CSRS,08
Goldman Sachs,Buy,275000,3.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,570000,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,350000,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,270000,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,505000,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Buy,160000,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,115000,0.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,150000,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,250000,0.15,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,500000,0.16,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,160000,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,205000,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,100000,1.24,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,320000,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,730000,0.1,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,750000,0.12,12/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Buy,95000,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Sell,1265000,0.6,12/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,185000,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,185000,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,150000,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,195000,0.63,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,1100000,0.65,03/20/11,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,420000,1.05,3/20/13,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,1550000,0.1,3/20/12,0000741375,N-CSRS,08
"Goldman
  Sachs",Buy,1600000,0.12,12/20/11,0000741375,N-CSRS,08
"JPMorgan
  Chase",Sell,1595000,0.6,12/20/12,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,120000,0.6,3/20/13,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,220000,1.07,3/20/18,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,220000,1.15,3/20/18,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,200000,0.58,3/20/13,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,255000,0.63,3/20/13,0000741375,N-CSRS,08
"JPMorgan
  Chase",Buy,1300000,0.65,3/20/11,0000741375,N-CSRS,08
"Lehman
  Brothers",Sell,1145000,0.6,12/20/11,0000741375,N-CSRS,08
"Lehman
  Brothers",Buy,245000,0.45,3/20/18,0000741375,N-CSRS,08
"Lehman
  Brothers",Buy,175000,0.46,3/20/18,0000741375,N-CSRS,08
"Lehman
  Brothers",Buy,800000,0.2,12/20/11,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,210000,1.5,3/20/18,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,385000,1.57,3/20/18,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,145000,1.6,3/20/18,0000741375,N-CSRS,08
"Merrill
  Lynch",Buy,275000,0.92,3/20/18,0000741375,N-CSRS,08
