COUNTERPARTY,REFERENCE ENTITY/OBLIGATION,PROTECTION,FIXED RATE,DATE,AMOUNT,(DEPRECIATION),CIK,Reporting Type,Report Year
"UBS
  AG, London","Northrop Grumman Space & Mission Systems
  Corp. 7.125% due 6/1/2009",Buy,(0.29,12/20/08,100000,(382,0000837276,N-Q,06
"Lehman
  Brothers Special Financing Inc.",RadioShack Corporation 7.375% 5/15/2011,Buy,(0.35,12/20/08,700000,2354,0000837276,N-Q,06
"Lehman
  Brothers Special Financing Inc.","The Home Depot, Inc. 5.375% due 4/1/2006*",Buy,(0.12,12/20/08,1500000,"(1,911",0000837276,N-Q,06
"Credit
  Suisse First Boston Intl.","Wal-Mart Stores, Inc. 4.55% due 5/1/2013",Buy,(0.15,12/20/08,300000,(700,0000837276,N-Q,06
"Lehman
  Brothers Special Financing Inc.","Wal-Mart Stores, Inc. 6.875% due 8/10/2009",Buy,(0.14,12/20/08,2300000,"(4,881",0000837276,N-Q,06
"Citibank,
  N.A. New York","Wal-Mart Stores, Inc. 6.875% due 8/10/2009",Buy,(0.14,12/20/08,200000,(424,0000837276,N-Q,06
"Barclays
  Bank PLC",Walt Disney Company (The) 6.375% due 3/1/2012,Buy,(0.67,12/20/08,900000,"(11,452",0000837276,N-Q,06
"Credit
  Suisse First Boston Intl.",Walt Disney Company (The) 6.375% due 3/1/2012,Buy,(0.53,12/20/08,300000,"(2,927",0000837276,N-Q,06
"Lehman
  Brothers Special Financing Inc.",Whirlpool Corporation 8.60% due 5/1/2010,Buy,(0.29,12/20/08,700000,"(3,119",0000837276,N-Q,06
"Lehman
  Brothers Special Financing Inc.",Republic of Turkey 11.875% 1/15/2030,Buy,(2.26,9/20/10,1200000,"(21,410",0000837276,N-Q,06
"Morgan
  Stanley Capital Services Inc.",Republic of Turkey 11.875% 1/15/2030,Buy,(2.20,10/20/10,600000,"(8,759",0000837276,N-Q,06
"Lehman
  Brothers Special Financing Inc.",Republic of Turkey 11.875% 1/15/2030,Buy,(2.11,10/20/10,500000,"(5,696",0000837276,N-Q,06
"Goldman
  Sachs International",ABX.HE.A.06-1,Buy,(0.54,7/25/45,1000000,(874,0000837276,N-Q,06
"Lehman
  Brothers Special Financing Inc.",ABX.HE.A.06-1,Buy,(0.54,7/25/45,5000000,"(4,370",0000837276,N-Q,06
