CIK,Reporting Type,Reporting Year,Counterparty,Notional Amount,Reference Entity/Obligation,Expiration Date,Appreciation/Depreciation,Upfront Payments Paid/Received,Buy/Sell Protection,Description,Fixed Rate
0000002646,N-CSR,14, Deutsche Bank AG,"211,000", Bolivarian Republicof Venezuela,12/20/18,"14,503","33,044",Buy,NaN,
0000002646,N-CSR,14, Deutsche Bank AG,"215,000",Republic of Turkey,06/20/18,"7,488","3,727",Buy,,(5.000
0000002646,N-CSR,14, Deutsche Bank AG,"1,036,000",CDX.EM.19,06/20/18,"(11,278","(79,471",Buy,,(5.000
0000002646,N-CSR,14, Deutsche Bank AG,"300,000",CDX.EM.19,06/20/18,"(3,806","(22,473",NaN,,(5.000
0000002646,N-CSR,14,HSBC,"466,000",CDX.EM.19,06/20/18,"(5,783","(35,036",NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,1000,"      Constellation     Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,900,      Lennar Corporation ,09/20/2012,NaN,NaN,Buy,NaN,
0000820892,N-CSR,07,      Citigroup ,900,      Ryland Group ,09/20/2012,NaN,NaN,Buy,,(5.000
0000820892,N-CSR,07,      Deutsche Bank ,4000,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,NaN,,(1.000
0000820892,N-CSR,07,      Deutsche Bank ,4300,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,1515,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,Buy,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,10750,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,Buy,,(5.000
0000820892,N-CSR,07,      J.P. Morgan ,1700,      Dow Jones CDX HY8 Index ,06/20/2012,NaN,NaN,Buy,,(5.000
0000820892,N-CSR,07,      J.P. Morgan ,25000,      Dow Jones CDX     IG7 Index ,12/20/2009,NaN,NaN,NaN,,(5.000
0000820892,N-CSR,07,      J.P. Morgan ,1900,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,1600,      Honeywell International ,09/20/2017,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,1330,      Sara Lee Corporation ,06/12/2012,NaN,NaN,Buy,NaN,
0000820892,N-CSR,07,      UBS ,1000,      Amerisourcebergen Corporation ,09/20/2012,NaN,NaN,Buy,,0.240%
0000820892,N-CSR,07,      UBS ,1000,"      Cardinal Health, Inc. ",09/20/2012,NaN,NaN,Buy,,1.050%
0000820892,N-CSR,07,      UBS ,1000,"      Constellation     Energy Group, Inc. ",06/20/2012,NaN,NaN,Buy,,1.250%
0000820892,N-CSR,07,      UBS ,2350,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,Buy,,1.400%
0000820892,N-CSR,07,      UBS ,1800,      Dow Jones CDX HY8 Index ,06/20/2012,NaN,NaN,Buy,,0.750%
0000820892,N-CSR,07,      UBS ,2000,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,Buy,,0.540%
0000820892,N-CSR,07,      UBS ,1000,      McKesson Corporation ,09/20/2012,NaN,NaN,Buy,,0.750%
0000820892,N-CSR,07,      UBS ,1000,      Whirlpool Corporation ,09/20/2017,NaN,NaN,Sell,,2.750%
0000820892,N-CSR,07,      Citigroup ,1900,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,Buy,,0.250%
0000820892,N-CSR,07,      Citigroup ,2000,      Lennar Corporation ,09/20/2012,NaN,NaN,Buy,,1.400%
0000820892,N-CSR,07,      Citigroup ,2000,      Ryland Group ,09/20/2012,NaN,NaN,Buy,,0.410%
0000820892,N-CSR,07,      Deutsche Bank ,7500,      Dow Jones CDX     HVOL8 Index ,06/20/2012,NaN,NaN,Buy,,0.500%
0000820892,N-CSR,07,      Deutsche Bank ,14000,      Dow Jones CDX     XO8 Index ,06/20/2012,NaN,NaN,Buy,,0.585%
0000820892,N-CSR,07,      J.P. Morgan ,3275,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,Buy,,0.320%
0000820892,N-CSR,07,      J.P. Morgan ,15000,      Dow Jones CDX     EM7 Index ,06/20/2012,NaN,NaN,Buy,,0.230%
0000820892,N-CSR,07,      J.P. Morgan ,44600,      Dow Jones CDX     XO8 Index ,06/20/2012,NaN,NaN,Buy,,0.750%
0000820892,N-CSR,07,      J.P. Morgan ,27900,      Dow Jones CDX     HVOL8 Index ,06/20/2012,NaN,NaN,Buy,,2.750%
0000820892,N-CSR,07,      J.P. Morgan ,22500,      Dow Jones CDX     HY8 Index ,06/20/2012,NaN,NaN,Buy,,1.400%
0000820892,N-CSR,07,      J.P. Morgan ,3500,      Honeywell International ,09/20/2017,NaN,NaN,Buy,,0.385%
0000820892,N-CSR,07,      J.P. Morgan ,2800,      Sara Lee Corporation ,06/12/2012,NaN,NaN,NaN,,0.785%
0000820892,N-CSR,07,      J.P. Morgan ,4300,      Turkey Government International Bond ,12/20/2011,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,2000,      Amerisourcebergen Corporation ,09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,2000,"      Cardinal Health, Inc. ",09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,1900,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,11500,      Dow Jones CDX     EM7 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,3700,      Dow Jones CDX     HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,2500,      Dow Jones CDX     XO8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,19700,      Dow Jones CDX     HY8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,1500,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,4800,      Dow Jones CDX EM7 Index ,6/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,2000,"      Constellation     Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,1750,      Lennar Corporation ,09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,1750,      Ryland Group ,09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Deutsche Bank ,8500,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,21100,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,3100,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,3300,      Honeywell International ,09/20/2017,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,2800,      Sara Lee Corporation ,06/12/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,4300,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,2000,      Amerisourcebergen Corporation ,09/20/2012,NaN,NaN,Buy,NaN,
0000820892,N-CSR,07,      UBS ,2000,"      Cardinal Health, Inc. ",09/20/2012,NaN,NaN,Buy,,0.240%
0000820892,N-CSR,07,      UBS ,2000,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,Buy,,1.050%
0000820892,N-CSR,07,      UBS ,2000,      McKesson Corporation ,09/20/2012,NaN,NaN,Buy,,1.250%
0000820892,N-CSR,07,      UBS ,2000,      Whirlpool Corporation ,09/20/2017,NaN,NaN,Buy,,0.750%
0000820892,N-CSR,07,      Citigroup ,625,"      Constellation Energy Group, Inc. ",6/12/2012,NaN,NaN,Buy,,1.400%
0000820892,N-CSR,07,      Citigroup ,1000,      Lennar Corporation ,9/20/2012,NaN,NaN,Buy,,0.540%
0000820892,N-CSR,07,      Citigroup ,1000,      Ryland Group ,9/20/2012,NaN,NaN,Buy,,1.250%
0000820892,N-CSR,07,      J.P. Morgan ,500,      Amerisourcebergen Corporation ,9/20/2012,NaN,NaN,Buy,,1.400%
0000820892,N-CSR,07,      J.P. Morgan ,500,"      Cardinal Health, Inc. ",9/20/2012,NaN,NaN,Buy,,0.750%
0000820892,N-CSR,07,      J.P. Morgan ,5000,      Dow Jones CDX     EM7 Index ,6/20/2012,NaN,NaN,Buy,,2.750%
0000820892,N-CSR,07,      J.P. Morgan ,5000,      Dow Jones CDX     HY8 Index ,6/20/2012,NaN,NaN,Buy,,0.410%
0000820892,N-CSR,07,      J.P. Morgan ,1000,"      CenturyTel, Inc. ",9/20/2012,NaN,NaN,Buy,,0.500%
0000820892,N-CSR,07,      J.P. Morgan ,500,      McKesson Corporation ,9/20/2012,NaN,NaN,Buy,,1.870%
0000820892,N-CSR,07,      J.P. Morgan ,1000,      Sara Lee Corporation ,6/12/2012,NaN,NaN,Buy,,0.585%
0000820892,N-CSR,07,      UBS ,500,      Amerisourcebergen Corporation ,9/20/2012,NaN,NaN,Buy,,0.320%
0000820892,N-CSR,07,      UBS ,500,"      Cardinal Health, Inc. ",9/20/2012,NaN,NaN,Buy,,0.230%
0000820892,N-CSR,07,      UBS ,15000,      Dow Jones CDX     EM7 Index ,6/20/2012,NaN,NaN,Buy,,1.250%
0000820892,N-CSR,07,      UBS ,5000,      Dow Jones CDX     HY8 Index ,6/20/2012,NaN,NaN,Buy,,0.750%
0000820892,N-CSR,07,      UBS ,12500,      Dow Jones CDX     XO8 Index ,6/20/2012,NaN,NaN,Buy,,1.400%
0000820892,N-CSR,07,      UBS ,625,"      Constellation Energy Group, Inc. ",6/20/2012,NaN,NaN,NaN,,2.750%
0000820892,N-CSR,07,      UBS ,500,      McKesson Corporation ,9/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,1200,      Turkey Government International Bond ,7/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      UBS ,1400,      Venezuela Government International Bond ,7/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,4100,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,4000,      Lennar Corporation ,09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Citigroup ,4000,      Ryland Group ,09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Deutsche Bank ,17200,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      Deutsche Bank ,17000,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,6535,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,43500,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000820892,N-CSR,07,      J.P. Morgan ,8100,      Dow Jones CDX HY8 Index ,06/20/2012,NaN,NaN,NaN,NaN,
0000880943,N-Q,10,Credit Suisse  International,1550000,NaN,03/20/11,NaN,NaN,NaN,NaN,
0000880943,N-Q,10,Credit Suisse  International,2150000,NaN,03/20/11,NaN,NaN,NaN,NaN,
0000880943,N-Q,10,Credit Suisse  International,4000000,NaN,05/20/12,NaN,NaN,NaN,NaN,
0000880943,N-Q,10,JPMorgan Chase  Bank,10000000,NaN,03/20/15,NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,ABX.HE.AA.06-2 Index,NaN,Sell,580213,NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,"American International Group, Inc.",NaN,Sell,"(14,365",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,"American International Group, Inc.",NaN,Sell,"(32,718",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,"American International Group, Inc.",NaN,Sell,"(20,255",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,"Capmark Financial Group, Inc.",NaN,Sell,"(427,783",NaN,NaN,Buy,NaN,
0000729968,N-CSR,08,"Citigroup, Inc.",NaN,Sell,"(9,979",NaN,NaN,NaN,,0.750%
0000729968,N-CSR,08,"Dillard s, Inc.",NaN,Sell,"(7,092",NaN,NaN,Buy,NaN,
0000729968,N-CSR,08,"HCP, Inc.",NaN,Sell,754,NaN,NaN,NaN,,1.250%
0000729968,N-CSR,08,"iStar Financial, Inc.",NaN,Sell,"(373,285",NaN,NaN,Buy,NaN,
0000729968,N-CSR,08,Kohl s Corp.,NaN,Buy,7696,NaN,NaN,Buy,,0.240%
0000729968,N-CSR,08,Kohl s Corp.,NaN,Sell,"(3,087",NaN,NaN,Buy,,1.050%
0000729968,N-CSR,08,Kohl s Corp.,NaN,Sell,"(7,657",NaN,NaN,Buy,,1.250%
0000729968,N-CSR,08,Kohl s Corp.,NaN,Buy,13952,NaN,NaN,Buy,,0.750%
0000729968,N-CSR,08,"Lehman Brothers Holdings, Inc.",NaN,Sell,"(1,941,176",NaN,NaN,Buy,,0.750%
0000729968,N-CSR,08,"Lehman Brothers Holdings, Inc.",NaN,Sell,"(105,642",NaN,NaN,Buy,,0.540%
0000729968,N-CSR,08,"Merrill Lynch & Co., Inc.",NaN,Sell,2833,NaN,NaN,Buy,,0.410%
0000729968,N-CSR,08,"Six Flags, Inc.",NaN,Sell,"(12,635",NaN,NaN,Buy,,0.500%
0000729968,N-CSR,08,"The Goldman Sachs Group, Inc.",NaN,Sell,2978,NaN,NaN,Buy,,0.750%
0000729968,N-CSR,08,XL Capital Ltd.,NaN,Sell,658,NaN,NaN,Buy,,0.585%
0000729968,N-CSR,08,"iStar Financial, Inc.",NaN,Sell,"(55,279",NaN,NaN,Buy,,0.320%
0000729968,N-CSR,08,"iStar Financial, Inc.",NaN,Sell,"(31,572",NaN,NaN,Buy,,0.230%
0000729968,N-CSR,08,JPMorgan Chase & Co.,NaN,Sell,640,NaN,NaN,Buy,,0.385%
0000729968,N-CSR,08,"Merrill Lynch & Co., Inc.",NaN,Sell,1414,NaN,NaN,NaN,,0.785%
0000729968,N-CSR,08,Morgan Stanley,NaN,Sell,"(144,929",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,Rite Aid Corp.,NaN,Sell,"(11,976",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,Rite Aid Corp.,NaN,Sell,39000,NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,Sprint Nextel Corp.,NaN,Sell,35517,NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,Tribune Co.,NaN,Sell,23100,NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,Tribune Co.,NaN,Sell,128800,NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,TXU Corp.,NaN,Sell,"(27,465",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,TXU Corp.,NaN,Sell,"(24,871",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,TXU Corp.,NaN,Sell,"(26,503",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,Vornado Realty LP,NaN,Sell,9580,NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,Wachovia Corp.,NaN,Sell,"(26,039",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,"Washington Mutual, Inc.",NaN,Sell,"(244,872",NaN,NaN,NaN,NaN,
0000729968,N-CSR,08,"Washington Mutual, Inc.",NaN,Sell,"(849,851",NaN,NaN,NaN,NaN,
0000002646,N-Q,16,Barclays Bank PLC," 25,000,000","CDX Emerging Markets Index Series 25, Version 1",06/20/21,"(134,444","1,679,690",Buy,NaN,
0000002646,N-Q,16,NaN,"  75,000,000 ","CDX North American High Yield Index Series 26, Version 1",06/20/21,"(1,185,433",NaN,Buy,,0.240%
0000002646,N-Q,16,NaN,"  125,000,000 ","CDX North American Investment Grade Index Series 26, Version 1",06/20/21,"(416,466",NaN,Buy,,1.050%
0000854904,N-CSR,08," Goldman Sachs Credit Partners, L.P. Texas Competitive Electric Holdings  Company LLC"," 3,000000"," Goldman Sachs Credit Partners, L.P. Texas Competitive Electric Holdings  Company LLC"," June 20, 2010",NaN,NaN,Buy,,1.250%
0001093062,N-CSR,08,Credit  Suisse,"35,000,000",LCDX,12/20/2012 ,"(165,000",NaN,Buy,,0.550%
0000883939,N-Q,09,Barclays Bank PLC,"(9,800",NaN,06/20/14,NaN,NaN,Buy,,0.330%
0000883939,N-Q,09,JPMorgan,6305,NaN,06/20/14,NaN,NaN,Buy,,1.250%
0000883939,N-Q,09,JPMorgan,4113,NaN,06/20/14,NaN,NaN,Buy,,2.750%
0000883939,N-Q,09,Credit Suisse First Boston,4280,NaN,06/20/14,NaN,NaN,Buy,,0.540%
0000883939,N-Q,09,Credit Suisse First Boston,6305,NaN,06/20/14,NaN,NaN,Buy,,0.350%
0000883939,N-Q,09,Credit Suisse First Boston,4302,NaN,06/20/14,NaN,NaN,Buy,,0.500%
0000883939,N-Q,09,Barclays Bank PLC,4435,NaN,06/20/14,NaN,NaN,Buy,,0.585%
0000883939,N-Q,09,Barclays Bank PLC,3985,NaN,06/20/14,NaN,NaN,Buy,,0.320%
0000883939,N-Q,09,JPMorgan,4270,NaN,06/20/14,NaN,NaN,Buy,,1.250%
0000883939,N-Q,09,Barclays Bank PLC,500,NaN,06/20/14,NaN,NaN,Buy,,2.750%
0000883939,N-Q,09,Barclays Bank PLC,250,NaN,06/20/14,NaN,NaN,Buy,,1.400%
0000883939,N-Q,09,Barclays Bank PLC,4555,NaN,06/20/14,NaN,NaN,Buy,,0.230%
0000883939,N-Q,09,JPMorgan,"16,975",NaN,06/20/14,NaN,NaN,Buy,,0.385%
0000883939,N-Q,09,JPMorgan,"11,267",NaN,06/20/14,NaN,NaN,Buy,,1.480%
0000883939,N-Q,09,Credit Suisse First Boston ,"11,695",NaN,06/20/14,NaN,NaN,NaN,,2.220%
0000883939,N-Q,09,Credit Suisse First Boston,"16,975",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Credit Suisse First Boston,"11,781",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"12,245",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"9,640",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,JPMorgan,"10,325",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"1,155",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,575,NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"11,035",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,JPMorgan,"8,730",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,JPMorgan,"5,961",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Credit Suisse First Boston,"6,045",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Credit Suisse First Boston,"8,730",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Credit Suisse First Boston,"6,227",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"6,320",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"5,605",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,JPMorgan,"6,005",NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,675,NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,335,NaN,06/20/14,NaN,NaN,NaN,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"6,410",NaN,06/20/14,NaN,NaN,Buy,NaN,
0000883939,N-Q,09,Barclays Bank PLC,"(8,500",NaN,09/20/12,NaN,NaN,Buy,,0.240%
0000883939,N-Q,09,Deutsche Bank,(50,NaN,12/20/13,NaN,NaN,Buy,,1.050%
0000883939,N-Q,09,Deutsche Bank,(50,NaN,12/20/13,NaN,NaN,Buy,,1.250%
0000883939,N-Q,09,Barclays Bank PLC,"1,150",NaN,06/20/14,NaN,NaN,Buy,,0.750%
0000883939,N-Q,09,Barclays Bank PLC,570,NaN,06/20/14,NaN,NaN,Buy,,1.400%
0000913534,N-Q,07, Southwest Airlines Co. ,350, Southwest Airlines Co. ," December 20, 2011 ",NaN,NaN,Buy,,0.540%
0000913534,N-Q,07, Dell Inc. ,300, Dell Inc. ," March 20, 2012 ",NaN,NaN,Buy,,0.750%
0000913534,N-Q,07, Covidien Limited ,113, Covidien Limited ," March 20, 2012 ",NaN,NaN,NaN,,2.750%
0000913534,N-Q,07, Covidien Limited ,50, Covidien Limited ," March 20, 2012 ",NaN,NaN,NaN,NaN,
0000913534,N-Q,07, Tyco Electronics ,113, Tyco Electronics ," March 20, 2012 ",NaN,NaN,NaN,NaN,
0000913534,N-Q,07, Tyco Electronics ,50, Tyco Electronics ," March 20, 2012 ",NaN,NaN,NaN,NaN,
0000913534,N-Q,07, Tyco International Limited ,113, Tyco International Limited ," March 20, 2012 ",NaN,NaN,NaN,NaN,
0000913534,N-Q,07, Tyco International Limited ,50, Tyco International Limited ," March 20, 2012 ",NaN,NaN,NaN,NaN,
0000913534,N-Q,07, Dow Jones CDX.NA.IG8 ,800, Dow Jones CDX.NA.IG8 ," June 20, 2012 ",NaN,NaN,NaN,NaN,
0000913534,N-Q,07,Southwest Airlines Co.,350,Southwest Airlines Co.,"December 20, 2011",NaN,NaN,NaN,NaN,
0000913534,N-Q,07,Dell Inc.,300,Dell Inc.,"March 20, 2012",NaN,NaN,NaN,NaN,
0000913534,N-Q,07,Covidien Limited,113,Covidien Limited,"March 20, 2012",NaN,NaN,NaN,,1.0
0000913534,N-Q,07,Covidien Limited,50,Covidien Limited,"March 20, 2012",NaN,NaN,NaN,,5.0
0000913534,N-Q,07,Tyco Electronics,113,Tyco Electronics,"March 20, 2012",NaN,NaN,NaN,,3.3
0000913534,N-Q,07,Tyco Electronics,50,Tyco Electronics,"March 20, 2012",NaN,NaN,750,,1.0
0000913534,N-Q,07,Tyco International Limited,113,Tyco International Limited,"March 20, 2012",NaN,NaN,535,NaN,
0000913534,N-Q,07,Tyco International Limited,50,Tyco International Limited,"March 20, 2012",NaN,NaN,1480,NaN,
0000913534,N-Q,07,Dow Jones CDX.NA.IG8,800,Dow Jones CDX.NA.IG8,"June 20, 2012",NaN,NaN,1290,NaN,
0001174610,N-CSR,17,NaN,"300,000",NaN,06/20/21,NaN,"(13,877",1020,NaN,
0001174610,N-CSR,17,NaN,"3,000,000",NaN,12/20/21,NaN,"(112,494",280,,5/25/46
0000772129,N-CSR,11,     Barclays Bank PLC ,"     2,000,000 ",     SLM Corp. ,     12/20/2013 ,NaN,     0.25% ,750,,3/20/09
0000105563,N-CSR,14,DBAG,13900000,CMBX.NA.AAA 6/A32,5/11/63,88000,NaN,935,,3/20/09
0000105563,N-CSR,14,MSCS,13205000,CMBX.NA.AAA 6/A32,5/11/63,136000,NaN,1000,,3/20/09
0000105563,N-CSR,14,UBSAG,13010000,CMBX.NA.AAA 6/A32,5/11/63,46000,NaN,595,,6/20/12
0000105563,N-CSR,14,GSI,13900000,CMBX.NA.AAA 6/A32,5/11/63,125000,NaN,595,,6/20/09
0000105563,N-CSR,14,DBAG,13900000,CMBX.NA.AAA 6/A32,5/11/63,75000,NaN,600,,12/20/08
0000105563,N-CSR,14,CSFBI,13110000,CMBX.NA.AAA 6/A32,5/11/63,195000,NaN,600,,3/20/09
0000105563,N-CSR,14,DBAG,12950000,CMBX.NA.AAA 6/A32,5/11/63,186000,NaN,2205,,12/20/12
0000105563,N-CSR,14,DBAG,25900000,CMBX.NA.AAA 6/A32,5/11/63,392000,NaN,120,,6/20/18
0000105563,N-CSR,14,MSCS,24970000,CMBX.NA.AAA 6/A32,5/11/63,358000,NaN,2355,,6/20/13
