CIK,Reporting Type,Reporting Year,Counterparty,Notional Amount,Reference Entity/Obligation,Expiration Date,Appreciation/Depreciation,Upfront Payments Paid/Received,Buy/Sell Protection,Description,Fixed Rate,Spread,25% Recovery Rate,50% Recovery Rate,75% Recovery Rate
846799,N-CSR,13,"Citigroup, Inc.",2631000,"Citigroup, Inc.",06/20/18,78850,"(288,630",Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
846799,N-CSR,13,Deutsche   Bank AG,215000,Republic of Turkey,06/20/18,4458,4148,Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14,"Citigroup, Inc.",63000000,CDX.EM.19,06/20/18,"(729,151","(4,789,383",NaN,NaN,(1.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14,Deutsche Bank AG,9228000,CDX.EM.19,06/20/18,"(117,084","(691,250",NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14,HSBC,12061000,CDX.EM.19,06/20/18,"(149,690","(906,803",NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14, Deutsche Bank AG,211000, Bolivarian Republicof Venezuela,12/20/18,14503,33044,Buy,NaN,(1.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14, Deutsche Bank AG,215000,Republic of Turkey,06/20/18,7488,3727,Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14, Deutsche Bank AG,1036000,CDX.EM.19,06/20/18,"(11,278","(79,471",Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14, Deutsche Bank AG,300000,CDX.EM.19,06/20/18,"(3,806","(22,473",NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-CSR,14,HSBC,466000,CDX.EM.19,06/20/18,"(5,783","(35,036",NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,1000,"      Constellation     Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,900,      Lennar Corporation ,09/20/2012,NaN,NaN,Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,900,      Ryland Group ,09/20/2012,NaN,NaN,Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Deutsche Bank ,4000,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,NaN,NaN,(1.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Deutsche Bank ,4300,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1515,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,Buy,NaN,(1.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,10750,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1700,      Dow Jones CDX HY8 Index ,06/20/2012,NaN,NaN,Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,25000,      Dow Jones CDX     IG7 Index ,12/20/2009,NaN,NaN,NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1900,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1600,      Honeywell International ,09/20/2017,NaN,NaN,NaN,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1330,      Sara Lee Corporation ,06/12/2012,NaN,NaN,Buy,NaN,(5.000,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1000,      Amerisourcebergen Corporation ,09/20/2012,NaN,NaN,Buy,NaN,0.240%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1000,"      Cardinal Health, Inc. ",09/20/2012,NaN,NaN,Buy,NaN,1.050%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1000,"      Constellation     Energy Group, Inc. ",06/20/2012,NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2350,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,Buy,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1800,      Dow Jones CDX HY8 Index ,06/20/2012,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,Buy,NaN,0.540%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1000,      McKesson Corporation ,09/20/2012,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1000,      Whirlpool Corporation ,09/20/2017,NaN,NaN,Sell,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,1900,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,Buy,NaN,0.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,2000,      Lennar Corporation ,09/20/2012,NaN,NaN,Buy,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,2000,      Ryland Group ,09/20/2012,NaN,NaN,Buy,NaN,0.410%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Deutsche Bank ,7500,      Dow Jones CDX     HVOL8 Index ,06/20/2012,NaN,NaN,Buy,NaN,0.500%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Deutsche Bank ,14000,      Dow Jones CDX     XO8 Index ,06/20/2012,NaN,NaN,Buy,NaN,0.585%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,3275,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,Buy,NaN,0.320%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,15000,      Dow Jones CDX     EM7 Index ,06/20/2012,NaN,NaN,Buy,NaN,0.230%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,44600,      Dow Jones CDX     XO8 Index ,06/20/2012,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,27900,      Dow Jones CDX     HVOL8 Index ,06/20/2012,NaN,NaN,Buy,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,22500,      Dow Jones CDX     HY8 Index ,06/20/2012,NaN,NaN,Buy,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,3500,      Honeywell International ,09/20/2017,NaN,NaN,Buy,NaN,0.385%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,2800,      Sara Lee Corporation ,06/12/2012,NaN,NaN,NaN,NaN,0.785%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,4300,      Turkey Government International Bond ,12/20/2011,NaN,NaN,NaN,NaN,0.240%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,      Amerisourcebergen Corporation ,09/20/2012,NaN,NaN,NaN,NaN,1.050%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,"      Cardinal Health, Inc. ",09/20/2012,NaN,NaN,NaN,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1900,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,11500,      Dow Jones CDX     EM7 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,3700,      Dow Jones CDX     HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.540%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2500,      Dow Jones CDX     XO8 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,19700,      Dow Jones CDX     HY8 Index ,06/20/2012,NaN,NaN,NaN,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1500,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,4800,      Dow Jones CDX EM7 Index ,6/20/2012,NaN,NaN,NaN,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,2000,"      Constellation     Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,0.410%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,1750,      Lennar Corporation ,09/20/2012,NaN,NaN,NaN,NaN,0.500%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,1750,      Ryland Group ,09/20/2012,NaN,NaN,NaN,NaN,0.585%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Deutsche Bank ,8500,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.320%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,21100,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.230%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,3100,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,3300,      Honeywell International ,09/20/2017,NaN,NaN,NaN,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,2800,      Sara Lee Corporation ,06/12/2012,NaN,NaN,NaN,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,4300,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.385%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,      Amerisourcebergen Corporation ,09/20/2012,NaN,NaN,Buy,NaN,0.785%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,"      Cardinal Health, Inc. ",09/20/2012,NaN,NaN,Buy,NaN,0.240%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,Buy,NaN,1.050%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,      McKesson Corporation ,09/20/2012,NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,2000,      Whirlpool Corporation ,09/20/2017,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,625,"      Constellation Energy Group, Inc. ",6/12/2012,NaN,NaN,Buy,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,1000,      Lennar Corporation ,9/20/2012,NaN,NaN,Buy,NaN,0.540%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,1000,      Ryland Group ,9/20/2012,NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,500,      Amerisourcebergen Corporation ,9/20/2012,NaN,NaN,Buy,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,500,"      Cardinal Health, Inc. ",9/20/2012,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,5000,      Dow Jones CDX     EM7 Index ,6/20/2012,NaN,NaN,Buy,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,5000,      Dow Jones CDX     HY8 Index ,6/20/2012,NaN,NaN,Buy,NaN,0.410%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1000,"      CenturyTel, Inc. ",9/20/2012,NaN,NaN,Buy,NaN,0.500%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,500,      McKesson Corporation ,9/20/2012,NaN,NaN,Buy,NaN,1.870%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,1000,      Sara Lee Corporation ,6/12/2012,NaN,NaN,Buy,NaN,0.585%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,500,      Amerisourcebergen Corporation ,9/20/2012,NaN,NaN,Buy,NaN,0.320%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,500,"      Cardinal Health, Inc. ",9/20/2012,NaN,NaN,Buy,NaN,0.230%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,15000,      Dow Jones CDX     EM7 Index ,6/20/2012,NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,5000,      Dow Jones CDX     HY8 Index ,6/20/2012,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,12500,      Dow Jones CDX     XO8 Index ,6/20/2012,NaN,NaN,Buy,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,625,"      Constellation Energy Group, Inc. ",6/20/2012,NaN,NaN,NaN,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,500,      McKesson Corporation ,9/20/2012,NaN,NaN,NaN,NaN,0.240%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1200,      Turkey Government International Bond ,7/20/2012,NaN,NaN,NaN,NaN,1.050%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      UBS ,1400,      Venezuela Government International Bond ,7/20/2012,NaN,NaN,NaN,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,4100,"      Constellation Energy Group, Inc. ",06/20/2012,NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,4000,      Lennar Corporation ,09/20/2012,NaN,NaN,NaN,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Citigroup ,4000,      Ryland Group ,09/20/2012,NaN,NaN,NaN,NaN,0.540%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Deutsche Bank ,17200,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      Deutsche Bank ,17000,      Dow Jones CDX XO8 Index ,06/20/2012,NaN,NaN,NaN,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,6535,"      Centurytel, Inc. ",09/20/2012,NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,43500,      Dow Jones CDX HVOL8 Index ,06/20/2012,NaN,NaN,NaN,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
820892,N-CSR,7,      J.P. Morgan ,8100,      Dow Jones CDX HY8 Index ,06/20/2012,NaN,NaN,NaN,NaN,0.410%,NaN,#VALUE!,#VALUE!,#VALUE!
880943,N-Q,10,Credit Suisse  International,1550000,NaN,03/20/11,NaN,NaN,NaN,NaN,0.500%,NaN,#VALUE!,#VALUE!,#VALUE!
880943,N-Q,10,Credit Suisse  International,2150000,NaN,03/20/11,NaN,NaN,NaN,NaN,1.870%,NaN,#VALUE!,#VALUE!,#VALUE!
880943,N-Q,10,Credit Suisse  International,4000000,NaN,05/20/12,NaN,NaN,NaN,NaN,0.585%,NaN,#VALUE!,#VALUE!,#VALUE!
880943,N-Q,10,JPMorgan Chase  Bank,10000000,NaN,03/20/15,NaN,NaN,NaN,NaN,0.320%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,ABX.HE.AA.06-2 Index,NaN,Sell,580213,NaN,NaN,NaN,NaN,0.230%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"American International Group, Inc.",NaN,Sell,"(14,365",NaN,NaN,NaN,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"American International Group, Inc.",NaN,Sell,"(32,718",NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"American International Group, Inc.",NaN,Sell,"(20,255",NaN,NaN,NaN,NaN,1.400%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Capmark Financial Group, Inc.",NaN,Sell,"(427,783",NaN,NaN,Buy,NaN,2.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Citigroup, Inc.",NaN,Sell,"(9,979",NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Dillard s, Inc.",NaN,Sell,"(7,092",NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"HCP, Inc.",NaN,Sell,754,NaN,NaN,NaN,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"iStar Financial, Inc.",NaN,Sell,"(373,285",NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Kohl s Corp.,NaN,Buy,7696,NaN,NaN,Buy,NaN,0.240%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Kohl s Corp.,NaN,Sell,"(3,087",NaN,NaN,Buy,NaN,1.050%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Kohl s Corp.,NaN,Sell,"(7,657",NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Kohl s Corp.,NaN,Buy,13952,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Lehman Brothers Holdings, Inc.",NaN,Sell,"(1,941,176",NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Lehman Brothers Holdings, Inc.",NaN,Sell,"(105,642",NaN,NaN,Buy,NaN,0.540%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Merrill Lynch & Co., Inc.",NaN,Sell,2833,NaN,NaN,Buy,NaN,0.410%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Six Flags, Inc.",NaN,Sell,"(12,635",NaN,NaN,Buy,NaN,0.500%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"The Goldman Sachs Group, Inc.",NaN,Sell,2978,NaN,NaN,Buy,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,XL Capital Ltd.,NaN,Sell,658,NaN,NaN,Buy,NaN,0.585%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"iStar Financial, Inc.",NaN,Sell,"(55,279",NaN,NaN,Buy,NaN,0.320%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"iStar Financial, Inc.",NaN,Sell,"(31,572",NaN,NaN,Buy,NaN,0.230%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,JPMorgan Chase & Co.,NaN,Sell,640,NaN,NaN,Buy,NaN,0.385%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Merrill Lynch & Co., Inc.",NaN,Sell,1414,NaN,NaN,NaN,NaN,0.785%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Morgan Stanley,NaN,Sell,"(144,929",NaN,NaN,NaN,NaN,0.240%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Rite Aid Corp.,NaN,Sell,"(11,976",NaN,NaN,NaN,NaN,1.050%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Rite Aid Corp.,NaN,Sell,39000,NaN,NaN,NaN,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Sprint Nextel Corp.,NaN,Sell,35517,NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Tribune Co.,NaN,Sell,23100,NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Tribune Co.,NaN,Sell,128800,NaN,NaN,NaN,NaN,0.540%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,TXU Corp.,NaN,Sell,"(27,465",NaN,NaN,NaN,NaN,0.410%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,TXU Corp.,NaN,Sell,"(24,871",NaN,NaN,NaN,NaN,0.500%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,TXU Corp.,NaN,Sell,"(26,503",NaN,NaN,NaN,NaN,0.750%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Vornado Realty LP,NaN,Sell,9580,NaN,NaN,NaN,NaN,0.585%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,Wachovia Corp.,NaN,Sell,"(26,039",NaN,NaN,NaN,NaN,0.320%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Washington Mutual, Inc.",NaN,Sell,"(244,872",NaN,NaN,NaN,NaN,0.230%,NaN,#VALUE!,#VALUE!,#VALUE!
729968,N-CSR,8,"Washington Mutual, Inc.",NaN,Sell,"(849,851",NaN,NaN,NaN,NaN,0.385%,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-Q,16,Barclays Bank PLC,25000000,"CDX Emerging Markets Index Series 25, Version 1",06/20/21,"(134,444",1679690,Buy,NaN,0.785%,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-Q,16,NaN,75000000,"CDX North American High Yield Index Series 26, Version 1",06/20/21,"(1,185,433",NaN,Buy,NaN,0.240%,NaN,#VALUE!,#VALUE!,#VALUE!
2646,N-Q,16,NaN,125000000,"CDX North American Investment Grade Index Series 26, Version 1",06/20/21,"(416,466",NaN,Buy,NaN,1.050%,NaN,#VALUE!,#VALUE!,#VALUE!
854904,N-CSR,8," Goldman Sachs Credit Partners, L.P. Texas Competitive Electric Holdings  Company LLC"," 3,000000"," Goldman Sachs Credit Partners, L.P. Texas Competitive Electric Holdings  Company LLC"," June 20, 2010",NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
1093062,N-CSR,8,Credit  Suisse,35000000,LCDX,12/20/2012 ,"(165,000",NaN,Buy,NaN,0.550%,NaN,#VALUE!,#VALUE!,#VALUE!
883939,N-Q,9,Barclays Bank PLC,"(9,800",NaN,06/20/14,NaN,NaN,Buy,NaN,0.330%,NaN,#VALUE!,#VALUE!,#VALUE!
883939,N-Q,9,JPMorgan,6305,NaN,06/20/14,NaN,NaN,Buy,NaN,1.250%,NaN,#VALUE!,#VALUE!,#VALUE!
