COUNTERPARTY,REFERENCE ENTITY/OBLIGATION,PROTECTION,FIXED RATE (%),DATE,AMOUNT,(DEPRECIATION),CIK,Reporting Type,Report Year
UBS AG,"Domtar
  Inc. 7.875%, 10/15/2011",Sell,2.6,09/20/11,84000,1089,0000877233,N-Q,07
Barclays Bank PLC,"Federative
  Republic of Brazil 12.25%, 03/06/30",Sell,0.24,06/20/08,732000,(946),0000877233,N-Q,07
Barclays Bank PLC,"Federative
  Republic of Brazil 12.25%, 03/06/30",Buy,(0.725),06/20/12,256000,3215,0000877233,N-Q,07
Barclays Bank PLC,"Federative
  Republic of Brazil 12.25%, 03/06/30",Buy,(1.600),08/20/12,200000,"(4,737)",0000877233,N-Q,07
"Citibank N.A., New York","Federative
  Republic of Brazil 12.25%, 03/06/30",Sell,0.24,07/20/08,512000,(716),0000877233,N-Q,07
"Citibank N.A., New York","Federative
  Republic of Brazil 12.25%, 03/06/30",Buy,(0.740),07/20/12,128000,1340,0000877233,N-Q,07
"Lehman Brothers Special
  Financing Inc.","Federative
  Republic of Brazil 12.25%, 03/06/30",Buy,(0.800),07/20/12,230000,2257,0000877233,N-Q,07
UBS AG,"Federative
  Republic of Brazil 12.25%, 03/06/30",Buy,(0.780),07/20/12,527500,4607,0000877233,N-Q,07
UBS AG,"Federative
  Republic of Brazil 12.25%, 03/06/30",Buy,(0.860),08/20/12,148000,892,0000877233,N-Q,07
UBS AG,"Federative
  Republic of Brazil 12.25%, 03/06/30",Buy,(1.150),08/20/12,354000,1590,0000877233,N-Q,07
"Citibank N.A., New York","First
  Data Corp. 5.625%, 11/01/11",Buy,(5.700),09/20/12,96000,1465,0000877233,N-Q,07
Barclays Bank PLC,"Gannett
  Co. 6.375%, 04/01/12",Buy,(0.780),09/20/14,198000,"(1,137)",0000877233,N-Q,07
"Citibank N.A., New York","Gannett
  Co. 6.375%, 04/01/12",Buy,(0.690),06/20/14,287000,(535),0000877233,N-Q,07
"Citibank N.A., New York","Gannett
  Co. 6.375%, 04/01/12",Buy,(0.860),09/20/14,128000,"(1,278)",0000877233,N-Q,07
"Citibank N.A., New York","Gannett
  Co. 6.375%, 04/01/12",Buy,(0.770),09/20/14,125000,(539),0000877233,N-Q,07
"Citibank N.A., New York","Gannett
  Co. 6.375%, 04/01/12",Buy,(0.810),09/20/14,125000,(822),0000877233,N-Q,07
Barclays Bank PLC,"Georgia-Pacific
  Corp. 7.750%, 11/15/29",Sell,3,09/20/12,105000,"(2,348)",0000877233,N-Q,07
"Citibank N.A., New York","Georgia-Pacific
  Corp. 7.750%, 11/15/29",Sell,3.65,09/20/12,95000,340,0000877233,N-Q,07
"Citibank N.A., New York","Georgia-Pacific
  Corp. 7.750%, 11/15/29",Sell,4.2,09/20/12,117000,2795,0000877233,N-Q,07
UBS AG,"Georgia-Pacific
  Corp. 7.750%, 11/15/29",Sell,3,09/20/12,137000,"(3,064)",0000877233,N-Q,07
"Lehman Brothers Special
  Financing Inc.","Harrah s
  Operating Co., Inc. 5.625%, 06/01/15",Sell,0.6,03/20/08,1031000,"(8,910)",0000877233,N-Q,07
UBS AG,"HSBC
  Bank PLC 4.250%, 03/18/16",Buy,(0.400),09/20/17,186000,2110,0000877233,N-Q,07
Barclays Bank PLC,"Kinder
  Morgan Inc. 6.500%, 09/01/12",Sell,1.7,09/20/11,34000,230,0000877233,N-Q,07
UBS AG,"LCDX.NA.8
  Index",Buy,(1.200),06/20/12,999327,"(17,279)",0000877233,N-Q,07
UBS AG,"LCDX.NA.8
  Index",Buy,(1.200),06/20/12,168308,"(4,251)",0000877233,N-Q,07
UBS AG,"LCDX.NA.8
  Index",Sell,1.2,06/20/12,1998653,"(62,707)",0000877233,N-Q,07
