Counterparty,Reference Entity/Obligation,"Buy/Sell
  Protection","(Pay)/Receive
  Fixed Rate (%)","Termination
  Date","Notional
  Amount","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
"Citibank N.A., New York","Computer Sciences Corp.
  5.000%, 02/15/13",Buy,(0.780),09/20/17,"5,142,000","(69,828)",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Countrywide Home Loan
  4.000%, 03/22/11",Sell,8.700,12/20/12,"248,000","(10,171)",0001066602,N-Q,08
UBS AG,"Countrywide Home Loan
  4.000%, 03/22/11",Sell,9.000,12/20/12,"248,000","(8,214)",0001066602,N-Q,08
"Citibank N.A., New York","Darden Restaurants Inc.
  7.125%, 02/01/16",Buy,(0.610),12/20/12,"632,000","6,586",0001066602,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Domtar Corp. (Obligation
  not yet specified)",Buy,(2.650),09/20/11,"1,287,500","(25,868)",0001066602,N-Q,08
UBS AG,"Domtar Corp. (Obligation
  not yet specified)",Sell,2.600,09/20/11,"1,288,000","23,728",0001066602,N-Q,08
Barclays Bank PLC,"Federative Republic of
  Brazil 12.250%, 03/06/30",Sell,0.240,06/20/08,"9,213,000","(5,820)",0001066602,N-Q,08
Barclays Bank PLC,"Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(0.725),06/20/12,"3,223,000","26,616",0001066602,N-Q,08
Barclays Bank PLC,"Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(1.600),08/20/12,"2,390,000","(64,046)",0001066602,N-Q,08
"Citibank N.A., New York","Federative Republic of
  Brazil 12.250%, 03/06/30",Sell,0.240,07/20/08,"5,827,000","(4,317)",0001066602,N-Q,08
"Citibank N.A., New York","Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(0.740),07/20/12,"1,457,000","11,858",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(0.800),07/20/12,"2,594,000","15,146",0001066602,N-Q,08
UBS AG,"Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(0.780),07/20/12,"5,987,500","39,864",0001066602,N-Q,08
UBS AG,"Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(0.860),08/20/12,"1,676,000","6,361",0001066602,N-Q,08
UBS AG,"Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(1.150),08/20/12,"4,104,000","(33,137)",0001066602,N-Q,08
"Citibank N.A., New York","First Data Corp. 4.700%,
  08/01/13",Buy,(5.350),12/20/12,"2,892,000","50,995",0001066602,N-Q,08
"Citibank N.A., New York","First Data Corp. 4.700%,
  08/01/13",Buy,(5.900),12/20/17,"1,635,000","35,362",0001066602,N-Q,08
"Lehman Brothers Special
  Financing Inc.","First Data Corp. 4.700%,
  08/01/13",Buy,(5.450),12/20/12,"2,374,000","32,869",0001066602,N-Q,08
"Merrill Lynch
  International","First Data Corp. 4.700%,
  08/01/13",Buy,(5.450),12/20/12,"3,561,000","49,303",0001066602,N-Q,08
"Citibank N.A., New York","Ford Motor Co. 6.500%,
  08/01/18",Sell,6.100,12/20/12,"1,235,000","(71,136)",0001066602,N-Q,08
Barclays Bank PLC,"Gannett Co. 6.375%,
  04/01/12",Buy,(0.780),09/20/14,"2,280,000","23,963",0001066602,N-Q,08
"Citibank N.A., New York","Gannett Co. 6.375%,
  04/01/12",Buy,(0.690),06/20/14,"3,637,000","52,364",0001066602,N-Q,08
"Citibank N.A., New York","Gannett Co. 6.375%,
  04/01/12",Buy,(0.860),09/20/14,"1,098,000","6,540",0001066602,N-Q,08
"Citibank N.A., New York","Gannett Co. 6.375%,
  04/01/12",Buy,(0.770),09/20/14,"1,438,000","15,932",0001066602,N-Q,08
"Citibank N.A., New York","Gannett Co. 6.375%,
  04/01/12",Buy,(0.810),09/20/14,"1,437,000","12,649",0001066602,N-Q,08
