Counterparty,Referenced Obligation,Protection (1),Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
Goldman Sachs,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,3.4,06/20/11,700000,"(72,417",0000813900,N-CSR,08
Credit Suisse,Chesapeake Energy Corp 6.875% due 01/15/16 6,Sell,0.97,06/20/12,1000000,"(32,759",0000813900,N-CSR,08
Credit Suisse,Chesapeake Energy Corp 6.875% due 01/15/16 6,Sell,1.01,06/20/12,1000000,"(31,184",0000813900,N-CSR,08
Credit Suisse,Chesapeake Energy Corp 6.875% due 01/15/16 6,Sell,1.04,06/20/12,800000,"(24,003",0000813900,N-CSR,08
Bear Stearns,Dow Jones CDX NA HY-8 Index 6,Buy,(2.750,06/20/12,48240000,1010337,0000813900,N-CSR,08
Lehman Brothers,Dow Jones CDX NA HY-8 Index 6,Buy,(2.750,06/20/12,11860000,96138,0000813900,N-CSR,08
Morgan Stanley,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,6.85,06/20/12,2200000,"(45,419",0000813900,N-CSR,08
Royal Bank of Scotland,Lehman Brothers Holdings Inc 6.625% due 01/18/12 6,Sell,0.66,09/20/12,2500000,"(55,349",0000813900,N-CSR,08
Citigroup,The Bear Stearns Cos Inc 5.300% due 10/30/15 6,Sell,0.72,09/20/12,5000000,"(221,773",0000813900,N-CSR,08
Lehman Brothers,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Sell,0.72,09/20/12,3000000,6563,0000813900,N-CSR,08
Credit Suisse,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Sell,0.74,09/20/12,1000000,3036,0000813900,N-CSR,08
Bear Stearns,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Sell,0.75,09/20/12,2900000,10037,0000813900,N-CSR,08
Merrill Lynch,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Sell,0.75,09/20/12,1000000,3461,0000813900,N-CSR,08
Royal Bank of Scotland,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Sell,0.78,09/20/12,1000000,4734,0000813900,N-CSR,08
Bear Stearns,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Sell,0.8,09/20/12,2600000,14516,0000813900,N-CSR,08
BNP Paribas,Lehman Brothers Holdings Inc 6.625% due 01/18/12 6,Sell,0.9,09/20/12,1000000,"(12,181",0000813900,N-CSR,08
BNP Paribas,Lehman Brothers Holdings Inc 6.625% due 01/18/12 6,Sell,1.12,09/20/12,1100000,293,0000813900,N-CSR,08
BNP Paribas,Lehman Brothers Holdings Inc 6.625% due 01/18/12 6,Sell,1.2,09/20/12,1100000,"(3,359",0000813900,N-CSR,08
Lehman Brothers,Chesapeake Energy Corp 6.875% due 01/15/16 6,Sell,1.38,09/20/12,3100000,"(59,981",0000813900,N-CSR,08
Credit Suisse,Chesapeake Energy Corp 6.875% due 01/15/16 6,Sell,1.55,09/20/12,2900000,"(35,797",0000813900,N-CSR,08
UBS,Chesapeake Energy Corp 6.875% due 01/15/16 6,Sell,1.55,09/20/12,5000000,"(61,719",0000813900,N-CSR,08
Barclays,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,3.05,09/20/12,900000,"(103,599",0000813900,N-CSR,08
Goldman Sachs,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,3.05,09/20/12,4100000,"(471,952",0000813900,N-CSR,08
Citigroup,RH Donnelley Corp 8.875% due 01/15/16 6,Sell,3.4,09/20/12,3900000,"(210,849",0000813900,N-CSR,08
Barclays,Ford Motor Credit Corp 7.000% due 10/01/13 6,Sell,3.8,09/20/12,2000000,"(179,797",0000813900,N-CSR,08
Morgan Stanley,Ford Motor Credit Corp 7.000% due 10/01/13 6,Sell,3.8,09/20/12,3200000,"(287,675",0000813900,N-CSR,08
Citigroup,General Motors Acceptance Corp 6.875% due 08/28/12 6,Buy,(5.000,09/20/12,3500000,230148,0000813900,N-CSR,08
Goldman Sachs,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,5.35,09/20/12,100000,"(5,690",0000813900,N-CSR,08
Deutsche Bank,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,5.4,09/20/12,6200000,"(344,923",0000813900,N-CSR,08
Bank of America,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,6.3,09/20/12,200000,"(6,571",0000813900,N-CSR,08
Bank of America,General Motors Acceptance Corp 6.875% due 08/28/12 6,Sell,7,09/20/12,2600000,"(39,357",0000813900,N-CSR,08
BNP Paribas,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Buy,(0.390,12/20/12,8600000,104557,0000813900,N-CSR,08
Citigroup,The Goldman Sachs Group Inc 6.600% due 01/15/12 6,Buy,(0.400,12/20/12,6500000,76139,0000813900,N-CSR,08
Lehman Brothers,Dow Jones CDX NA IG9 Index 6,Buy,(0.600,12/20/12,7900000,"(29,672",0000813900,N-CSR,08
Merrill Lynch,Dow Jones CDX NA IG9 Index 6,Buy,(0.600,12/20/12,53900000,665686,0000813900,N-CSR,08
Morgan Stanley,Dow Jones CDX NA IG9 Index 6,Buy,(0.600,12/20/12,50900000,628649,0000813900,N-CSR,08
UBS,Merrill Lynch & Co Inc 5.000% due 01/15/15 6,Buy,(0.920,12/20/12,4000000,60960,0000813900,N-CSR,08
Bank of America,Merrill Lynch & Co Inc 5.000% due 01/15/15 6,Buy,(0.950,12/20/12,1500000,20911,0000813900,N-CSR,08
Goldman Sachs,The Bear Stearns Cos Inc 5.300% due 10/30/15 6,Buy,(1.780,12/20/12,3100000,66,0000813900,N-CSR,08
Lehman Brothers,United Mexican States 7.500% due 04/08/33 6,Sell,0.67,01/20/17,3300000,"(41,623",0000813900,N-CSR,08
Bank of America,Dow Jones CDX NA IG9 Index 6,Buy,(0.800,12/20/17,5200000,"(5,090",0000813900,N-CSR,08
Barclays,Dow Jones CDX NA IG9 Index 6,Buy,(0.800,12/20/17,37000000,"(45,601",0000813900,N-CSR,08
Goldman Sachs,Dow Jones CDX NA IG9 Index 6,Buy,(0.800,12/20/17,13300000,"(20,400",0000813900,N-CSR,08
