Counterparty,"Reference
  Entity/Obligation",Protection,"Rate
  (%)",Date,"03/31/10
  (%) (3)","Amount
  (4)","Value
  (5)",(Received),(Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank AG,"General
  Electric Capital Corp. 6.000%, 06/15/12",Sell,0.8,06/20/11,0.96,6800000,"(12,942)","(12,942)",,0000837276,N-Q,10
Barclays Bank PLC,"GMAC
  LLC 6.875%, 08/28/12",Sell,3.65,09/20/12,2.92,1000000,16913,16913,,0000837276,N-Q,10
Barclays Bank PLC,"GMAC
  LLC 6.875%, 08/28/12",Sell,4.8,09/20/12,2.92,1300000,56485,56485,,0000837276,N-Q,10
"Goldman Sachs
  International","GMAC
  LLC 6.875%, 08/28/12",Sell,3.2,09/20/12,2.92,1100000,7182,7182,,0000837276,N-Q,10
"Citibank N.A., New York","Government
  of France O.A.T. 4.250%, 04/25/2019",Sell,0.25,03/20/15,0.47,1100000,"(11,232)","(17,505)",6273,0000837276,N-Q,10
"Goldman Sachs
  International","Government
  of France O.A.T. 4.250%, 04/25/2019",Sell,0.25,03/20/15,0.47,2400000,"(24,505)","(40,906)",16401,0000837276,N-Q,10
"The
  Royal Bank of Scotland PLC","Government
  of France O.A.T. 4.250%, 04/25/2019",Sell,0.25,03/20/15,0.47,1000000,"(10,210)","(16,835)",6625,0000837276,N-Q,10
Deutsche Bank AG,"Japanese
  Government 20-Year Issue 2.000%, 03/21/2022",Sell,1.0,03/20/15,0.64,2000000,34135,22804,11331,0000837276,N-Q,10
Deutsche Bank AG,"Metlife
  Inc. 5.000%, 06/15/15",Sell,1.0,03/20/15,1.9,13500000,"(545,039)","(790,751)",245712,0000837276,N-Q,10
"Goldman Sachs
  International","Morgan
  Stanley 6.600%, 04/01/12",Sell,1.0,03/20/11,0.95,1700000,829,"(1,648)",2477,0000837276,N-Q,10
"Citibank N.A., New York","Reynolds
  American Inc. 7.625%, 06/01/16",Sell,1.28,06/20/17,1.83,2600000,"(86,836)","(86,836)",,0000837276,N-Q,10
"Citibank N.A., New York","SLM
  Corp. 5.125%, 08/27/12",Sell,4.85,03/20/13,3.04,3100000,156173,156173,,0000837276,N-Q,10
"Citibank N.A., New York","SLM
  Corp. 5.125%, 08/27/12",Sell,5.0,12/20/13,3.31,1800000,102356,"(185,318)",287674,0000837276,N-Q,10
"Citibank N.A., New York","SLM
  Corp. 5.125%, 08/27/12",Sell,5.0,12/20/13,3.31,7600000,432171,"(786,637)",1218808,0000837276,N-Q,10
Deutsche Bank AG,"SLM
  Corp. 5.125%, 08/27/12",Sell,5.0,09/20/10,1.34,100000,1748,"(3,659)",5407,0000837276,N-Q,10
BNP Paribas SA,"United
  Kingdom Gilt 4.250%, 06/07/2032",Sell,1.0,12/20/14,0.75,600000,6740,4226,2514,0000837276,N-Q,10
Deutsche Bank AG,"United
  Kingdom Gilt 4.250%, 06/07/2032",Sell,1.0,12/20/14,0.75,200000,2247,1322,925,0000837276,N-Q,10
Goldman Sachs International,"United
  Kingdom Gilt 4.250%, 06/07/2032",Sell,1.0,06/20/15,0.78,16300000,172348,149897,22451,0000837276,N-Q,10
"Morgan
  Stanley Capital Services Inc.","United
  Kingdom Gilt 4.250%, 06/07/2032",Sell,1.0,12/20/14,0.75,600000,6740,4226,2514,0000837276,N-Q,10
Barclays Bank PLC,"United
  Mexican States 7.500%, 04/08/33",Sell,1.0,03/20/15,1.14,2000000,"(12,954)","(43,673)",30719,0000837276,N-Q,10
"Citibank N.A., New York","United
  Mexican States 7.500%, 04/08/33",Sell,1.0,03/20/15,1.14,2000000,"(12,954)","(44,568)",31614,0000837276,N-Q,10
Deutsche Bank AG,"United
  Mexican States 7.500%, 04/08/33",Sell,1.0,03/20/15,1.14,1000000,"(6,477)","(22,284)",15807,0000837276,N-Q,10
Deutsche Bank AG,"Wachovia
  Corp. 3.625%, 02/17/09",Sell,1.52,03/20/13,0.77,1300000,28464,28464,,0000837276,N-Q,10
