Counterparty,Reference Entity/Obligation,Buy/Sell Protection,(Pay)/Receive Fixed Rate,Termination Date,Notional Amount,"Unrealized
  Appreciation/(Depreciation)",CIK,Reporting Type,Report Year
Lehman Brothers Special Financing Inc.,"Dow
  Jones CDX.NA.IG.7 Index
  (30-100% Tranche)",Buy,(0.048),12/20/16,124553000,102343,0000002646,N-Q,07
"Citibank N.A., New York","Dow
  Jones CDX.NA.IG.HVOL.7 Index",Buy,(0.750),12/20/11,24900800,98262,0000002646,N-Q,07
Goldman Sachs International,"Dow
  Jones CDX.NA.IG.HVOL.7 Index",Buy,(0.750),12/20/11,61550000,66423,0000002646,N-Q,07
Lehman Brothers Special Financing Inc.,"Dow
  Jones CDX.NA.IG.HVOL.7 Index",Buy,(0.750),12/20/11,30840000,135962,0000002646,N-Q,07
Lehman Brothers Special Financing Inc.,"Dow
  Jones CDX.NA.IG.HVOL.7 Index",Buy,(0.750),12/20/11,62010000,351608,0000002646,N-Q,07
"Citibank N.A., New York","Dow
  Jones CDX.NA.XO.7 Index",Buy,(1.650),12/20/11,26099000,"(15,695)",0000002646,N-Q,07
Lehman Brothers Special Financing Inc.,"Dow
  Jones CDX.NA.XO.7 Index",Buy,(1.650),12/20/11,30840000,239502,0000002646,N-Q,07
UBS AG,"Dow
  Jones CDX.NA.XO.7 Index",Buy,(1.650),12/20/11,29108000,204719,0000002646,N-Q,07
"Citibank N.A., New York","Entergy
  Corporation 7.750%, 12/15/09",Sell,0.38,12/20/11,9466000,6927,0000002646,N-Q,07
Lehman Brothers Special Financing Inc.,"Exelon
  Corp. 6.750%, 05/01/11",Buy,(0.630),06/20/12,6229000,755,0000002646,N-Q,07
Lehman Brothers Special Financing Inc.,"Exelon
  Corp. 6.750%, 05/01/11",Buy,(0.640),06/20/12,6229000,"(1,741)",0000002646,N-Q,07
"Citibank N.A., New York","Gannett
  Co. 6.375%, 04/01/12",Buy,(0.480),06/20/14,4299000,9769,0000002646,N-Q,07
Goldman Sachs International,"Gannett
  Co. 6.375%, 04/01/12",Buy,(0.480),06/20/14,6214000,25481,0000002646,N-Q,07
UBS AG,"Goldman
  Sachs Group Inc. 6.600%, 01/15/12",Sell,0.24,03/20/12,11239000,"(31,202)",0000002646,N-Q,07
"Citibank N.A., New York","Goldman
  Sachs Group, Inc. 6.600%, 01/15/12",Sell,0.24,03/20/12,7856000,"(23,525)",0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"H.J.
  Heinz Co. 6.000%, 03/15/08",Buy,(0.350),09/20/11,16503000,"(59,035)",0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"H.J.
  Heinz Co. 6.000%, 03/15/08",Buy,(0.410),09/20/11,19253500,"(115,711)",0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"HCA
  Inc. LN Tranche Number: LN300285",Buy,(1.700),12/20/11,6090000,"(123,056)",0000002646,N-Q,07
Barclays Bank PLC,"Kinder
  Morgan Inc. 6.500%, 09/01/12",Sell,1.7,09/20/11,1104000,42351,0000002646,N-Q,07
Merrill Lynch International,"Kinder
  Morgan Inc. 6.500%, 09/01/12",Buy,(1.900),09/20/11,2761000,"(124,918)",0000002646,N-Q,07
UBS AG,"Kinder
  Morgan Inc. 6.500%, 09/01/12",Buy,(1.900),09/20/11,2761000,"(115,592)",0000002646,N-Q,07
"Citibank N.A., New York","Lehman
  Brothers Holdings 6.625%, 01/18/12",Sell,0.24,03/20/12,7856000,"(45,781)",0000002646,N-Q,07
UBS AG,"Lehman
  Brothers Holdings 6.625%, 01/18/12",Sell,0.24,03/20/12,11239000,"(55,710)",0000002646,N-Q,07
UBS AG,"Morgan
  Stanley 6.600%, 04/01/12",Sell,0.26,03/20/12,29060000,"(55,096)",0000002646,N-Q,07
Barclays Bank PLC,"Nisource
  Finance Corp. 7.875%, 11/15/10",Sell,0.41,03/20/12,6168000,18220,0000002646,N-Q,07
"Citibank N.A., New York","Nisource
  Finance Corp. 7.875%, 11/15/10",Sell,0.41,03/20/12,2894000,6017,0000002646,N-Q,07
Merrill Lynch International,"Nisource
  Finance Corp. 7.875%, 11/15/10",Sell,0.43,03/20/12,6168000,18347,0000002646,N-Q,07
Credit Suisse First Boston,"Norbord
  Inc. 7.250%, 07/01/12",Buy,(1.450),06/20/14,9317000,209053,0000002646,N-Q,07
"JPMorgan Chase Bank N.A., New York","Norbord
  Inc. 7.250%, 07/01/12",Buy,(1.380),06/20/14,4344000,114292,0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"Norbord
  Inc. 7.250%, 07/01/12",Buy,(1.380),06/20/14,8507000,209639,0000002646,N-Q,07
UBS AG,"Norbord
  Inc. 7.250%, 07/01/12",Buy,(1.360),06/20/14,3490000,105533,0000002646,N-Q,07
UBS AG,"Rogers
  Wireless Inc. 7.250%, 12/15/12",Sell,1.3,09/20/11,5474000,199034,0000002646,N-Q,07
UBS AG,"Russian
  Federation 5.000% Step, 03/31/30",Sell,0.24,08/20/07,14485000,6504,0000002646,N-Q,07
UBS AG,"Russian
  Federation 5.000% Step, 03/31/30",Sell,0.31,08/20/07,21897000,18949,0000002646,N-Q,07
Goldman Sachs International,"Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(1.040),03/20/14,2105000,14307,0000002646,N-Q,07
"JPMorgan Chase Bank N.A., New York","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(1.020),03/20/14,6015000,59457,0000002646,N-Q,07
"JPMorgan Chase Bank N.A., New York","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.890),03/20/14,6218000,88795,0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.900),03/20/14,5447000,83943,0000002646,N-Q,07
UBS AG,"Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.900),03/20/14,5820000,92493,0000002646,N-Q,07
Merrill Lynch International,"Transocean
  Inc. 7.375%, 04/15/18",Buy,(0.330),09/20/12,5801000,"(13,847)",0000002646,N-Q,07
UBS AG,"Transocean
  Inc. 7.375%, 04/15/18",Buy,(0.340),09/20/12,5415000,"(14,669)",0000002646,N-Q,07
Merrill Lynch International,"TXU
  Energy Co. 7.000%, 03/15/13",Buy,(1.200),03/20/12,9247000,85282,0000002646,N-Q,07
UBS AG,"TXU
  Energy Co. 7.000%, 03/15/13",Buy,(1.230),03/20/12,1766000,14188,0000002646,N-Q,07
Barclays Bank PLC,"UST
  Inc. 6.625%, 07/15/12",Buy,(0.300),03/20/14,5814000,(630),0000002646,N-Q,07
Bear Stearns Credit Products Inc.,"UST
  Inc. 6.625%, 07/15/12",Buy,(0.280),03/20/14,15391000,"(4,394)",0000002646,N-Q,07
Bear Stearns Credit Products Inc.,"UST
  Inc. 6.625%, 07/15/12",Buy,(0.380),03/20/17,12313000,240,0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"UST
  Inc. 6.625%, 07/15/12",Buy,(0.420),03/20/17,5814000,"(10,659)",0000002646,N-Q,07
UBS AG,"UST
  Inc. 6.625%, 07/15/12",Buy,(0.280),03/20/14,817000,1249,0000002646,N-Q,07
UBS AG,"UST
  Inc. 6.625%, 07/15/12",Buy,(0.380),03/20/17,1000000,2007,0000002646,N-Q,07
"Citibank N.A., New York","Weyerhaeuser
  Co. 6.750%, 03/15/12",Buy,(0.580),03/20/14,1083000,12793,0000002646,N-Q,07
"JPMorgan Chase Bank N.A., New York","Weyerhaeuser
  Co. 6.750%, 03/15/12",Buy,(0.640),03/20/14,6191000,46134,0000002646,N-Q,07
Lehman Brothers Special Financing Inc.,"Weyerhaeuser
  Co. 6.750%, 03/15/12",Buy,(0.570),03/20/14,6218000,"(12,798)",0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"Weyerhaeuser
  Co. 6.750%, 03/15/12",Buy,(0.600),03/20/14,11701000,82437,0000002646,N-Q,07
Morgan Stanley Capital Services Inc.,"Weyerhaeuser
  Co. 6.750%, 03/15/12",Buy,(0.880),03/20/17,5814000,52168,0000002646,N-Q,07
"Citibank N.A., New York","Williams
  Partners LP 7.500%, 06/15/11",Sell,1.03,03/20/12,7035351,14113,0000002646,N-Q,07
UBS AG,"XL
  Capital Ltd. 5.250%, 09/15/14",Buy,(0.610),09/20/16,5501000,"(35,282)",0000002646,N-Q,07
UBS AG,"XL
  Capital Ltd. 5.250%, 09/15/14",Buy,(0.610),09/20/16,11002000,"(70,564)",0000002646,N-Q,07
