Counterparty,Reference Entity/Obligation,Protection,Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
"Morgan Stanley Capital Services, Inc.","Republic of Venezuela 9.250%, 09/15/27",Buy,(3.480),11/20/15,125000,"(11,277)",0001039001,N-Q,07
Barclays Bank PLC,"Residential Capital, LLC 6.375%, 06/30/10",Sell,1.22,03/20/08,375000,22,0001039001,N-Q,07
Barclays Bank PLC,"Residential Capital, LLC 6.375%, 06/30/10",Sell,1.2,03/20/08,188000,(28),0001039001,N-Q,07
Goldman Sachs International,"Residential Capital, LLC 6.375%, 06/30/10",Sell,1.36,03/20/08,188000,109,0001039001,N-Q,07
Goldman Sachs International,"Residential Capital, LLC 6.375%, 06/30/10",Sell,1.18,03/20/08,187000,(215),0001039001,N-Q,07
Barclays Bank PLC,"Residential Capital, LLC 6.500%, 04/17/13",Sell,1.75,03/20/08,286000,1515,0001039001,N-Q,07
Credit Suisse International,"Residential Capital, LLC 6.500%, 04/17/13",Sell,1.3,03/20/08,188000,174,0001039001,N-Q,07
Barclays Bank PLC,"Smithfield Foods Inc. 7.750%, 05/15/13",Sell,1.5,03/20/12,180000,"(1,418)",0001039001,N-Q,07
Credit Suisse International,"Smithfield Foods Inc. 7.750%, 05/15/13",Sell,1.49,03/20/12,185000,"(1,265)",0001039001,N-Q,07
"Lehman Brothers Special Financing, Inc.","Smithfield Foods Inc. 7.750%, 05/15/13",Sell,1.58,03/20/12,235000,(760),0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","Smithfield Foods Inc. 7.750%, 05/15/13",Sell,1.51,03/20/12,260000,"(1,192)",0001039001,N-Q,07
Goldman Sachs International,"Standard Pacific Corp. 6.875%, 05/15/11",Sell,2.2,06/20/08,1115000,,0001039001,N-Q,07
"JPMorgan Chase Bank, N.A., NY","Ukraine Government 7.650%, 06/11/13",Sell,1.92,08/20/11,75000,1922,0001039001,N-Q,07
"Citibank N.A., New York","Univision Communications Inc. 7.850%, 07/15/11",Sell,1.1,06/20/08,96000,(3),0001039001,N-Q,07
"Lehman Brothers Special Financing, Inc.","Univision Communications Inc. 7.850%, 07/15/11",Sell,1.1,06/20/08,96000,(56),0001039001,N-Q,07
"Lehman Brothers Special Financing, Inc.","Univision Communications Inc. 7.850%, 07/15/11",Sell,1.15,06/20/08,193000,,0001039001,N-Q,07
"Lehman Brothers Special Financing, Inc.","Univision Communications Inc. 7.850%, 07/15/11",Sell,1.2,06/20/08,426000,,0001039001,N-Q,07
Credit Suisse International,"Vale Overseas Limited 8.250%, 01/17/34",Sell,1.03,03/20/17,95000,198,0001039001,N-Q,07
Deutsche Bank AG,"Vale Overseas Limited 8.250%, 01/17/34",Sell,1.05,03/20/17,200000,2969,0001039001,N-Q,07
Deutsche Bank AG,"Vale Overseas Limited 8.250%, 01/17/34",Sell,1,03/20/17,180000,1966,0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","Vale Overseas Limited 8.250%, 01/17/34",Sell,1.04,03/20/17,195000,964,0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","Vale Overseas Limited 8.250%, 01/17/34",Sell,1.06,03/20/17,95000,565,0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","Vale Overseas Limited 8.250%, 01/17/34",Sell,0.92,03/20/17,195000,(900),0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","Vale Overseas Limited 8.250%, 01/17/34",Sell,0.97,03/20/17,180000,(152),0001039001,N-Q,07
"Citibank N.A., New York","Williams Companies Inc. 7.125%, 09/01/11",Sell,1.11,03/20/12,100000,471,0001039001,N-Q,07
Credit Suisse International,"Williams Companies Inc. 7.125%, 09/01/11",Sell,1.15,03/20/12,100000,601,0001039001,N-Q,07
Credit Suisse International,"Williams Companies Inc. 7.125%, 09/01/11",Sell,1.14,03/20/12,100000,644,0001039001,N-Q,07
Deutsche Bank AG,"Williams Companies Inc. 7.125%, 09/01/11",Sell,1.02,03/20/12,230000,756,0001039001,N-Q,07
